#%modelname
#Red, Green, Blue, Alpha, OffsetX, OffsetY, OffsetZ, CustomSize, BlinkType, NoDistance, DrawSearchlight
#0.45 - custom size reserved for traffic lights

%AFtri_lamp
220 205 146 255 -0.344882 -0.589372 2.65894 1.20 00 0 0
220 205 146 255 -0.319738 0.618714 2.658936 1.20 00 0 0
220 205 146 255 0.735347 -0.002891 2.659329 1.20 00 0 0
%AF_strlamp_A
160 130 90 255 0.005416 -1.254084 4.748462 1.20 00 0 0
%BIG_hydroA
176 21 0 255 -12.225300 0.384472 19.150299 1.20 05 0 0
176 21 0 255 11.045898 0.540302 19.150299 1.20 05 0 0
%BIG_hydroB
176 21 0 255 0.224518 -0.082981 19.491800 1.20 05 0 0
176 21 0 255 0.124786 -0.082977 -3.566490 1.20 05 0 0
%bridgelamp
160 130 90 255 -0.000824 -0.000379 0.951768 1.20 00 0 0
%CityHallLmp01
160 130 90 255 -0.000359 -0.000270 1.329070 1.20 00 0 0
%poleLight
225 207 136 255 -0.594236 -0.176337 2.824140 1.20 00 0 0
243 213 133 255 0.552594 -0.530089 2.624420 1.20 00 0 0
%PR_AlleyLamp
244 204 153 255 -0.007492 -0.298480 -0.191658 1.20 00 0 0
%streetlamp_a
163 147 112 255 -0.017920 -0.000000 1.119272 1.20 00 0 0
%streetlamp_ORN01
160 130 90 255 -0.017920 -0.000000 1.197936 1.20 00 0 0
%street_lamp
160 130 90 255 -0.000407 0.000000 1.625331 1.20 00 0 0
%wall_lampSM
238 204 131 255 0.076952 0.000000 0.132235 1.20 00 0 0
%jou_StreetLite
255 255 255 255 0.997316 0.536938 3.50728 1.00 00 0 0
%a51_halbox_
199 018 000 255 -0.2064060 -0.1088960 0.04260800 0.20 00 0 0
%a51_labtable1_
195 255 253 255 0.24848901 0.10106300 2.06036091 0.30 00 0 0
208 254 255 255 -0.2852170 0.10106300 2.06036091 0.30 00 0 0
188 248 255 255 -0.8112180 0.10106300 2.06036091 0.30 00 0 0
%a51_light1_
000 255 186 255 0.00553900 0.00830700 0.10304400 0.30 00 0 0
%ab_acc_control
255 031 020 255 0.04260300 2.01007104 0.45109400 0.50 00 0 0
%airport_11_sfse
255 255 255 255 -4.4066162 -26.472595 14.8687229 1.00 00 0 0
255 255 255 255 5.07702589 4.77664185 14.8687229 1.00 00 0 0
255 255 255 255 -66.949707 -45.395172 14.8687229 1.00 00 0 0
255 255 255 255 -5.8503418 15.7041016 14.8687229 1.00 00 0 0
255 255 255 255 -35.655884 -35.956207 14.8687229 1.00 00 0 0
255 255 255 255 36.3262939 14.2602539 14.8687229 1.00 00 0 0
255 255 000 255 -22.634399 -48.977753 14.8687229 1.00 00 0 0
255 255 255 255 14.5161133 36.0705261 14.8687229 1.00 00 0 0
255 255 000 255 12.1174316 38.4693298 14.8687229 1.00 00 0 0
255 255 255 255 25.4434814 25.1430664 14.8687229 1.00 00 0 0
255 255 255 255 15.9598389 -6.1061711 14.8687229 1.00 00 0 0
255 255 255 255 -46.583252 -25.028748 14.8687229 1.00 00 0 0
255 255 255 255 -24.773071 -46.839020 14.8687229 1.00 00 0 0
255 255 255 255 -26.216797 -4.6623230 14.8687229 1.00 00 0 0
255 255 255 255 -15.289429 -15.589783 14.8687229 1.00 00 0 0
255 255 000 255 -2.2679441 -28.611328 14.8687229 1.00 00 0 0
255 255 000 255 18.0985107 -8.2449036 14.8687229 1.00 00 0 0
255 255 000 255 -28.615479 -2.2635190 14.8687229 1.00 00 0 0
255 255 000 255 38.4649658 12.1215210 14.8687229 1.00 00 0 0
255 255 000 255 32.4838867 58.8357544 14.8687229 1.00 00 0 0
255 255 255 255 45.8099365 45.5094910 14.8687229 1.00 00 0 0
255 255 255 255 34.8825684 56.4369507 14.8687229 1.00 00 0 0
255 255 000 255 -8.2490234 18.1029053 14.8687229 1.00 00 0 0
255 255 000 255 -48.981934 -22.629944 14.8687229 1.00 00 0 0
255 255 000 255 58.8314209 32.4879456 14.8687229 1.00 00 0 0
255 255 255 255 -45.139526 -67.205444 14.8687229 1.00 00 0 0
255 255 000 255 -43.000854 -69.344177 14.8687229 1.00 00 0 0
255 255 255 255 56.6927490 34.6266785 14.8687229 1.00 00 0 0
255 255 000 255 -69.348389 -42.996368 14.8687229 1.00 00 0 0
255 255 255 255 -56.022339 -56.322632 14.8687229 1.00 00 0 0
255 255 000 255 46.3482666 72.7000732 14.8687229 1.00 00 0 0
255 255 255 255 48.7469482 70.3012695 14.8687229 1.00 00 0 0
255 255 000 255 72.6958008 46.3522644 14.8687229 1.00 00 0 0
255 255 255 255 70.5571289 48.4909973 14.8687229 1.00 00 0 0
255 255 255 255 59.6743164 59.3738098 14.8687229 1.00 00 0 0
255 255 255 255 93.8841553 71.8180847 14.8687229 1.00 00 0 0
255 255 000 255 96.0228271 69.6793518 14.8687229 1.00 00 0 0
255 255 255 255 96.8656006 96.5652161 14.8687229 1.00 00 0 0
255 255 000 255 69.6752930 96.0271606 14.8687229 1.00 00 0 0
255 255 255 255 83.0013428 82.7008972 14.8687229 1.00 00 0 0
255 255 255 255 72.0739746 93.6283569 14.8687229 1.00 00 0 0
255 255 255 255 107.748413 85.6824036 14.8687229 1.00 00 0 0
255 255 255 255 85.9382324 107.492676 14.8687229 1.00 00 0 0
255 255 000 255 83.5395508 109.891479 14.8687229 1.00 00 0 0
255 255 000 255 109.887085 83.5436707 14.8687229 1.00 00 0 0
%airport_14_sfse
255 255 255 255 96.7379150 -117.05407 21.3018436 1.00 00 0 0
255 255 000 255 139.609497 -78.459969 21.3018436 1.00 00 0 0
255 255 255 255 115.660645 -54.510963 21.3018436 1.00 00 0 0
255 255 000 255 113.261963 -52.112160 21.3018436 1.00 00 0 0
255 255 255 255 126.588013 -65.438423 21.3018436 1.00 00 0 0
255 255 255 255 117.104370 -96.687653 21.3018436 1.00 00 0 0
255 255 000 255 119.243042 -98.826385 21.3018436 1.00 00 0 0
255 255 255 255 95.2941895 -74.877388 21.3018436 1.00 00 0 0
255 255 000 255 92.8955078 -72.478584 21.3018436 1.00 00 0 0
255 255 255 255 106.221558 -85.804840 21.3018436 1.00 00 0 0
255 255 255 255 137.470825 -76.321236 21.3018436 1.00 00 0 0
255 255 000 255 98.8765869 -119.19280 21.3018436 1.00 00 0 0
255 255 255 255 74.9277344 -95.243805 21.3018436 1.00 00 0 0
255 255 000 255 72.5290527 -92.845001 21.3018436 1.00 00 0 0
255 255 255 255 85.8551025 -106.17126 21.3018436 1.00 00 0 0
255 255 255 255 76.3714600 -137.42047 21.3018436 1.00 00 0 0
255 255 000 255 78.5101318 -139.55920 21.3018436 1.00 00 0 0
255 255 255 255 54.5612793 -115.61022 21.3018436 1.00 00 0 0
255 255 000 255 52.1625977 -113.21142 21.3018436 1.00 00 0 0
255 255 255 255 65.4886475 -126.53767 21.3018436 1.00 00 0 0
%airprtgnd_06_sfse
255 255 255 255 -7.5272222 698.305420 13.9390354 1.00 00 0 0
255 255 255 255 53.5721436 759.404663 13.9390354 1.00 00 0 0
255 255 255 255 31.7619629 781.214966 13.9390354 1.00 00 0 0
255 255 000 255 29.3632813 783.613770 13.9390354 1.00 00 0 0
255 255 255 255 42.6893311 770.287476 13.9390354 1.00 00 0 0
255 255 255 255 33.2056885 739.038269 13.9390354 1.00 00 0 0
255 255 000 255 -31.736084 722.514526 13.9390354 1.00 00 0 0
255 255 255 255 11.3955078 760.848511 13.9390354 1.00 00 0 0
255 255 000 255 8.99682617 763.247314 13.9390354 1.00 00 0 0
255 255 255 255 22.3228760 749.921082 13.9390354 1.00 00 0 0
255 255 255 255 12.8392334 718.671875 13.9390354 1.00 00 0 0
255 255 000 255 14.9779053 716.533081 13.9390354 1.00 00 0 0
255 255 255 255 -8.9709473 740.482117 13.9390354 1.00 00 0 0
255 255 000 255 -11.369629 742.880920 13.9390354 1.00 00 0 0
255 255 255 255 1.95642102 729.554688 13.9390354 1.00 00 0 0
255 255 255 255 -49.703857 699.749268 13.9390354 1.00 00 0 0
255 255 000 255 -5.3885498 696.166687 13.9390354 1.00 00 0 0
255 255 255 255 -29.337402 720.115723 13.9390354 1.00 00 0 0
255 255 255 255 -38.776489 688.821838 13.9390354 1.00 00 0 0
