//
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	16 16 56 			142 142 144 			255 255 255 			16 19 33 			41 31 41 			0 0 0 			0 0 0 			1.9		1.9		0.8			255 255 255			1600.0		300.0		0.5			30 35 40			0 0 0			0 6 20 230			0 82 82 97			0 0 0 0			0	40	0	1.00		
// 5 AM
	24 35 54 			147 147 147 			255 255 255 			87 92 111 			78 61 61 			0 0 0 			0 0 0 			1.9		1.9		0.6			255 255 255			1600.0		300.0		0.5			39 43 49			54 35 35			9 20 35 240			0 109 109 109			0 0 0 0			70	130	0	1.00		
// 6 AM
	61 52 72 			179 179 179 			255 255 255 			16 83 117 			117 74 74 			255 117 0 			139 61 55 			5.7		1.8		0.6			255 255 255			1600.0		300.0		0.5			62 62 62			225 40 40			112 143 167 250			10 162 162 162			0 0 0 0			100	160	0	1.10		
// 7 AM
	51 55 74 			177 177 177 			255 255 255 			90 102 125 			143 94 94 			255 254 254 			255 133 124 			4.0		1.4		-0.1			255 255 255			1600.0		300.0		0.3			45 45 45			131 85 85			112 143 167 250			0 161 161 161			0 0 0 0			105	200	0	1.00		
// Midday
	129 129 129 			171 171 171 			255 255 255 			36 93 202 			139 139 139 			255 255 255 			240 203 151 			5.2		1.4		-0.1			255 255 255			1600.0		300.0		0.3			52 52 52			110 81 72			112 143 167 250			14 158 158 158			14 0 0 0			105	170	0	1.04		
// 7 PM
	47 42 42 			162 163 124 			255 255 255 			50 81 105 			145 117 65 			255 158 0 			98 69 61 			5.0		1.4		-0.1			255 255 255			1600.0		300.0		0.3			38 38 38			255 255 255			112 143 167 250			14 173 166 165			0 0 0 0			140	170	0	1.00		
// 8 PM
	53 34 37 			231 209 185 			255 255 255 			91 87 111 			204 150 100 			255 120 0 			130 100 97 			1.4		1.6		0.8			255 255 255			1600.0		300.0		0.3			47 39 0			115 104 83			103 103 120 250			0 147 137 140			0 0 0 0			140	200	0	1.00		
// 10 PM
	0 0 0 			192 180 180 			255 255 255 			15 15 20 			7 7 9 			0 45 255 			0 19 127 			1.9		1.9		0.8			255 255 255			1600.0		300.0		0.8			25 25 25			0 0 0			23 23 25 240			0 205 205 205			0 0 0 0			0	30	0	1.00		
//
///////////////////////////////////////////SUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	17 17 72 			142 142 144 			255 255 255 			16 19 33 			16 36 62 			0 0 0 			0 0 0 			1.9		1.9		0.8			255 255 255			1600.0		300.0		0.5			30 35 40			0 0 0			0 6 20 230			0 134 134 134			0 0 0 0			0	40	0	1.00		
// 5 AM
	34 46 81 			147 147 147 			255 255 255 			87 92 111 			91 60 50 			0 0 0 			0 0 0 			1.9		1.9		0.6			255 255 255			1600.0		300.0		0.5			39 43 49			54 35 35			9 20 35 240			0 145 145 145			0 0 0 0			70	130	0	1.00		
// 6 AM
	37 37 37 			179 179 179 			255 255 255 			21 67 88 			126 70 47 			255 117 0 			221 109 42 			5.7		1.8		0.6			255 255 255			1600.0		300.0		0.5			62 62 62			227 171 160			112 143 167 250			0 156 156 156			0 0 0 0			100	160	0	1.10		
// 7 AM
	75 48 48 			185 158 133 			255 255 255 			88 113 155 			200 169 93 			0 88 255 			255 145 56 			4.0		1.4		-0.1			255 255 255			1600.0		300.0		0.3			45 45 45			131 85 85			112 143 167 250			0 149 149 149			0 0 0 0			105	200	0	1.00		
// Midday
	56 44 44 			171 171 171 			255 255 255 			15 51 126 			141 141 141 			255 255 255 			180 180 180 			5.2		1.4		-0.1			255 255 255			1600.0		300.0		0.3			52 52 52			110 81 72			112 143 167 250			14 168 168 168			0 0 0 0			105	170	0	0.80		
// 7 PM
	55 46 39 			80 80 63 			255 255 255 			0 81 164 			190 139 88 			227 174 77 			81 56 50 			5.0		1.4		-0.1			255 255 255			1600.0		300.0		0.3			38 38 38			255 255 255			112 143 167 250			14 160 160 160			0 0 0 0			140	170	0	1.00		
// 8 PM
	60 43 30 			255 220 177 			255 255 255 			0 68 154 			160 107 80 			255 120 0 			255 120 0 			1.4		1.6		0.8			255 255 255			1600.0		300.0		0.3			32 16 16			124 117 83			112 143 167 250			0 177 177 177			0 0 0 0			140	200	0	1.00		
// 10 PM
	24 24 54 			98 98 213 			255 255 255 			12 65 90 			103 78 96 			16 16 16 			0 0 0 			1.9		1.1		0.8			255 255 255			1600.0		300.0		0.8			25 25 25			0 0 0			23 23 25 240			0 124 124 124			0 15 15 15			0	30	0	1.00		
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	33 33 91 			142 142 144 			255 255 255 			16 19 33 			51 41 117 			0 0 0 			0 0 0 			1.9		1.9		0.8			255 255 255			1600.0		15.0		0.5			30 35 40			0 0 0			0 6 20 230			0 143 143 143			0 0 0 0			0	40	0	1.00		
// 5 AM
	52 41 113 			147 147 147 			255 255 255 			87 92 111 			163 82 82 			0 0 0 			0 0 0 			1.9		1.9		0.6			255 255 255			300.0		15.0		0.5			39 43 49			54 35 35			7 8 35 240			0 138 138 138			0 0 0 0			70	130	130	1.00		
// 6 AM
	25 41 77 			179 179 179 			255 255 255 			0 56 123 			142 88 98 			230 187 151 			204 166 111 			5.7		1.8		0.8			255 255 255			700.0		15.0		1.9			62 62 62			195 175 123			112 143 167 250			0 145 145 145			0 0 0 0			100	160	50	1.10		
// 7 AM
	36 36 49 			224 207 181 			255 255 255 			51 92 181 			176 105 105 			0 88 255 			215 191 171 			4.0		1.4		-0.1			255 255 255			2300.0		400.0		0.3			45 45 45			131 106 85			112 143 167 250			0 161 161 161			0 0 0 0			105	200	0	1.00		
// Midday
	101 101 101 			171 171 171 			255 255 255 			0 61 128 			195 195 195 			255 255 255 			255 224 126 			5.2		1.4		0.6			255 255 255			1600.0		15.0		0.3			52 52 52			187 160 98			112 143 167 250			14 150 150 150			0 0 0 0			105	171	0	0.86		
// 7 PM
	73 68 61 			162 163 124 			255 255 255 			96 121 144 			180 108 84 			255 158 0 			215 151 90 			5.0		1.4		-0.1			255 255 255			1600.0		15.0		0.3			38 38 38			255 255 255			112 143 167 250			14 150 150 150			0 0 0 0			140	170	0	1.00		
// 8 PM
	67 52 68 			125 125 173 			255 255 255 			97 86 151 			167 97 84 			255 120 0 			255 120 0 			1.4		1.6		0.8			255 255 255			1600.0		15.0		0.3			147 106 99			115 90 83			112 143 167 250			0 154 154 154			0 0 0 0			139	200	0	1.00		
// 10 PM
	21 24 52 			156 154 168 			255 255 255 			2 15 28 			0 33 62 			0 45 255 			0 19 127 			1.9		1.9		0.8			255 255 255			1600.0		15.0		0.5			25 25 25			0 0 0			23 23 25 240			0 155 155 155			0 0 0 0			0	30	0	0.00		
//
///////////////////////////////////////////SUNNY_SMOG_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
